sample_id,query_text,true_label,lexical_prediction,semantic_prediction,lexical_confidence,semantic_confidence,lexical_margin,semantic_margin,disagreement_category,selection_reason,error_category,root_cause_hypothesis
01128466121379aec7509528935755ad62662b271fe4641017c876816b951bed,I'd rather not verify my identity.,why_verify_identity,unable_to_verify_identity,why_verify_identity,0.3685462340166884,0.8062721626310893,0.16078516468696483,0.7274417382009987,lexical_wrong_semantic_correct,semantic_fix,T5,Negation distinguishes rationale from inability and the semantic representation preserves that boundary.
03948f374b3a2f8a5c6c5ffe1f1817eef3037d74339bbdee6b352b5b681a27f5,what do i do if my verification failed,unable_to_verify_identity,failed_transfer,unable_to_verify_identity,0.09484869630438351,0.1726771083872738,0.015446413018465041,0.03168764461676077,lexical_wrong_semantic_correct,semantic_fix,T1,The lexical model overweights failed while the semantic model links it to identity verification.
046ecedd79f382a3d512141d03fb0bffab8c0034ea9e9b66197761436331b08f,how do you determine your exchange rates because one of yours was off when i got cash,wrong_exchange_rate_for_cash_withdrawal,exchange_rate,wrong_exchange_rate_for_cash_withdrawal,0.24342781455379342,0.656458483552466,0.06538459561093135,0.5754306373925268,lexical_wrong_semantic_correct,semantic_fix,T3,Cash provides the product rail needed to separate ATM exchange rate from the generic rate intent.
05b90d2ef106545cdb00d7ff8e89e0e43cf27a72ff325045502704f198ca2f49,What's the limit on automatic top-up?,automatic_top_up,top_up_limits,automatic_top_up,0.4331970384111189,0.5413732283543091,0.22297056595611897,0.21171377799781982,lexical_wrong_semantic_correct,semantic_fix,T5,The query contains both limit and automatic top-up cues and the label boundary depends on the automatic qualifier.
0692455b6fa43c34155c848e608801b8658ddc5a85d0795060c6b7930c1a7d0a,I was supposed to get a purchase refunded but I don't see the money in my account,Refund_not_showing_up,request_refund,Refund_not_showing_up,0.08576137884969698,0.6021060622237772,0.003509479790374803,0.5076164417087844,lexical_wrong_semantic_correct,semantic_fix,T2,The key distinction is post-refund nonreceipt versus initiating a refund and lexical overlap obscures the lifecycle state.
09470d929b94c461eac2b575626fc9cb8d878bf4979cc85c58863014f88e6139,I cannot verify my identity,unable_to_verify_identity,verify_my_identity,unable_to_verify_identity,0.33254219846187677,0.7068413756729414,0.06558011559046883,0.5870543287505438,lexical_wrong_semantic_correct,semantic_fix,T2,Cannot marks a failed verification state rather than a request for verification instructions.
07ddfb3b2cc128aca4871456730d42eb22958187fd5d53ad92085e081a7c4050,My payments from my virtual card keep getting rejected.,virtual_card_not_working,virtual_card_not_working,declined_card_payment,0.17539796321261744,0.27020428680969183,0.0022632138022479487,0.10324200890187246,lexical_correct_semantic_wrong,lexical_only_correct,T3,The semantic model favors the generic declined-payment state over the explicit virtual-card product qualifier.
0d73090badfbfa3bcb147af34c81994f8197982da51343f8f7aab679712241af,"I am a new customer, and I happened to look at my app and there is a charge I am not familiar with.  Could you tell me why the extra charge is there?",extra_charge_on_statement,extra_charge_on_statement,card_payment_fee_charged,0.133366118638891,0.3785482166868429,0.0660676049599092,0.021510740714283383,lexical_correct_semantic_wrong,lexical_only_correct,T5,Unknown statement charge and explicit payment fee are close boundaries and the query never names a card payment.
0fbe5d9b59bc386eacdf1b8407c0f9fe2fca553cecc938e8063a43f580fc01ef,"If I only have 1 other US card, can you take it?",supported_cards_and_currencies,supported_cards_and_currencies,getting_spare_card,0.15719795301488654,0.23278739992532563,0.05349633075872737,0.00437278862935328,lexical_correct_semantic_wrong,lexical_only_correct,T3,Other card suggests quantity but US card and acceptance refer to supported card and currency eligibility.
11d74ef3834bd1f2943d9bfe18ebcaca760168a328d8386e07aed8ee245b321b,How long does it take for an international transfer into my account?,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,transfer_timing,0.29273091859940364,0.6592678717407385,0.07519780783510435,0.4903039348293611,lexical_correct_semantic_wrong,lexical_only_correct,T5,How long strongly supports timing while into my account supports balance update and makes the boundary ambiguous.
